Wines,Points
2000 Chateau Mouton Rothschild,94 
2000 Chateau Lafite Rothschild,96 
2000 Petrus,97 
2000 Chateau Margaux,97 
2000 Chateau Latour,96 
2000 Chateau Haut-Brion,96 
2000 Chateau Pontet-Canet,92 
2000 Chateau Lynch-Bages,93 
2000 Chateau Pichon Longueville Comtesse de Lalande,93 
2000 Chateau Cos d'Estournel,93 
2000 Chateau Leoville-Las Cases 'Grand Vin de Leoville',95 
2000 Chateau Montrose,94 
2000 Chateau Ducru-Beaucaillou,93 
2000 Chateau Leoville Poyferre,92 
2000 Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 
2000 Chateau La Mission Haut-Brion,95 
2000 Chateau Leoville Barton,94 
2000 Chateau Calon-Segur,91 
2000 Chateau Lascombes,89 
2000 Chateau Ausone,97 
2000 Vieux Chateau Certan,94 
2000 Chateau Gruaud-Larose,92 
2000 Chateau Branaire-Ducru,91 
2000 Chateau Rauzan-Segla,91 
2000 Chateau Giscours,91 
2000 Chateau Grand-Puy-Lacoste,92 
2000 Chateau Troplong Mondot,92 
2000 Domaine de Chevalier,92 
2000 Baron Philippe de Rothschild Chateau d'Armailhac,89 
2000 Chateau Latour 'Les Forts de Latour',92 
2000 Chateau Brane-Cantenac,91 
2000 Chateau Cantemerle,89 
2000 Pavillon Rouge du Chateau Margaux,91 
2000 Chateau Clerc-Milon,90 
2000 Chateau Rieussec,91 
2000 Chateau Batailley Grand Cru,89 
2000 Chateau Pavie Macquin,92 
2000 Chateau Suduiraut,91 
2000 Chateau Malescot-St-Exupery,91 
2000 Chateau Sociando-Mallet,90 
2000 Chateau Gloria,90 
2000 Chateau Gazin Pomerol,90 
2000 Chateau La Lagune,88 
2000 Chateau Prieure-Lichine,90 
2000 Chateau L'Eglise-Clinet,96 
2000 Chateau Chasse-Spleen,89 
2000 Chateau Cantenac Brown,89 
2000 Chateau Leoville-Las Cases 'Clos du Marquis',91 
2000 Chateau Climens,91 
2000 Chateau Langoa-Barton,90 
Chateau Mouton Rothschild,96 
Chateau Lafite Rothschild,95 
Petrus,96 
Chateau Margaux,96 
Chateau Latour,96 
Chateau Haut-Brion,96 
Chateau d'Yquem,96 
Chateau Pontet-Canet,94 
Chateau Lynch-Bages,93 
Chateau Cheval Blanc,95 
Chateau Pichon Longueville Comtesse de Lalande,94 
2001 Chateau Mouton Rothschild,92 
2001 Chateau Lafite Rothschild,94 
2001 Petrus,95 
2001 Chateau Margaux,94 
2001 Chateau Latour,94 
2001 Chateau Haut-Brion,94 
2001 Chateau d'Yquem,98 
2001 Chateau Pontet-Canet,90 
2001 Chateau Lynch-Bages,90 
2001 Chateau Cheval Blanc,93 
2001 Chateau Pichon Longueville Comtesse de Lalande,92 
2001 Chateau Cos d'Estournel,92 
2001 Chateau Leoville-Las Cases 'Grand Vin de Leoville',93 
2001 Chateau Montrose,93 
2001 Chateau Palmer,91 
2001 Chateau Ducru-Beaucaillou,91 
2001 Chateau Leoville Poyferre,91 
2001 Chateau Pichon-Longueville au Baron de Pichon-Longueville,92 
2001 Chateau La Mission Haut-Brion,93 
2001 Chateau Angelus,93 
2001 Chateau Leoville Barton,92 
2001 Chateau Figeac,92 
2001 Chateau Pavie,93 
2001 Chateau Talbot,90 
2001 Chateau Smith Haut Lafitte,91 
2001 Chateau Calon-Segur,88 
2001 Chateau Lafleur,93 
2001 Chateau Lascombes,90 
2001 Chateau Pape Clement,92 
2001 Chateau Ausone,95 
2001 Vieux Chateau Certan,93 
2001 Chateau Canon,90 
2001 Chateau Gruaud-Larose,91 
2001 Chateau Branaire-Ducru,90 
2001 Chateau Rauzan-Segla,91 
2001 Chateau Giscours,91 
2001 Chateau Beychevelle,89 
2001 Chateau Grand-Puy-Lacoste,89 
2001 Chateau Lafite Rothschild 'Carruades de Lafite',88 
2001 Chateau Duhart-Milon,90 
2001 Chateau Troplong Mondot,90 
2001 Le Pin,94 
2001 Chateau La Fleur-Petrus,90 
2001 Domaine de Chevalier,91 
2001 Chateau La Conseillante,93 
2001 Chateau Lagrange,90 
2001 Baron Philippe de Rothschild Chateau d'Armailhac,88 
2001 Chateau Latour 'Les Forts de Latour',90 
2001 Chateau Brane-Cantenac,90 
2001 Chateau Cantemerle,88 
2002 Chateau Mouton Rothschild,93 
2002 Chateau Lafite Rothschild,93 
2002 Petrus,92 
2002 Chateau Margaux,92 
2002 Chateau Latour,95 
2002 Chateau Haut-Brion,92 
2002 Chateau d'Yquem,95 
2002 Chateau Pontet-Canet,90 
2002 Chateau Lynch-Bages,90 
2002 Chateau Cheval Blanc,91 
2002 Chateau Pichon Longueville Comtesse de Lalande,91 
2002 Chateau Cos d'Estournel,92 
2002 Chateau Leoville-Las Cases 'Grand Vin de Leoville',92 
2002 Chateau Montrose,90 
2002 Chateau Palmer,90 
2002 Chateau Ducru-Beaucaillou,89 
2002 Chateau Leoville Poyferre,90 
2002 Chateau Pichon-Longueville au Baron de Pichon-Longueville,91 
2002 Chateau La Mission Haut-Brion,91 
2002 Chateau Angelus,90 
2002 Chateau Leoville Barton,91 
2002 Chateau Figeac,89 
2002 Chateau Pavie,92 
2002 Chateau Talbot,87 
2002 Chateau Smith Haut Lafitte,90 
2002 Chateau Calon-Segur,89 
2002 Chateau Lafleur,91 
2002 Chateau Lascombes,88 
2002 Chateau Pape Clement,90 
2002 Chateau Ausone,93 
2002 Vieux Chateau Certan,91 
2002 Chateau Canon,88 
2002 Chateau Gruaud-Larose,89 
2002 Chateau Branaire-Ducru,88 
2002 Chateau Rauzan-Segla,90 
2002 Chateau Giscours,88 
2002 Chateau Beychevelle,88 
2002 Chateau Grand-Puy-Lacoste,88 
2002 Chateau Lafite Rothschild 'Carruades de Lafite',88 
2002 Chateau Duhart-Milon,89 
2002 Chateau Troplong Mondot,90 
2002 Le Pin,91 
2002 Chateau La Fleur-Petrus,90 
2002 Domaine de Chevalier,90 
2002 Chateau La Conseillante,89 
2002 Chateau Lagrange,89 
2002 Baron Philippe de Rothschild Chateau d'Armailhac,87 
2002 Chateau Latour 'Les Forts de Latour',90 
2002 Chateau Brane-Cantenac,88 
2002 Chateau Cantemerle,86 
2003 Chateau Mouton Rothschild,93 
2003 Chateau Lafite Rothschild,95 
2003 Petrus,94 
2003 Chateau Margaux,96 
2003 Chateau Latour,97 
2003 Chateau Haut-Brion,94 
2003 Chateau d'Yquem,95 
2003 Chateau Pontet-Canet,93 
2003 Chateau Lynch-Bages,93 
2003 Chateau Cheval Blanc,93 
2003 Chateau Pichon Longueville Comtesse de Lalande,93 
2003 Chateau Cos d'Estournel,94 
2003 Chateau Leoville-Las Cases 'Grand Vin de Leoville',94 
2003 Chateau Montrose,95 
2003 Chateau Palmer,91 
2003 Chateau Ducru-Beaucaillou,92 
2003 Chateau Leoville Poyferre,93 
2003 Chateau Pichon-Longueville au Baron de Pichon-Longueville,93 
2003 Chateau La Mission Haut-Brion,93 
2003 Chateau Angelus,93 
2003 Chateau Leoville Barton,94 
2003 Chateau Figeac,91 
2003 Chateau Pavie,93 
2003 Chateau Talbot,89 
2003 Chateau Smith Haut Lafitte,91 
2003 Chateau Calon-Segur,92 
2003 Chateau Lafleur,93 
2003 Chateau Lascombes,90 
2003 Chateau Pape Clement,93 
2003 Chateau Ausone,96 
2003 Vieux Chateau Certan,90 
2003 Chateau Canon,90 
2003 Chateau Gruaud-Larose,90 
2003 Chateau Branaire-Ducru,92 
2003 Chateau Rauzan-Segla,91 
2003 Chateau Giscours,90 
2003 Chateau Beychevelle,89 
2003 Chateau Grand-Puy-Lacoste,90 
2003 Chateau Lafite Rothschild 'Carruades de Lafite',90 
2003 Chateau Duhart-Milon,91 
2003 Chateau Troplong Mondot,90 
2003 Chateau La Fleur-Petrus,89 
2003 Domaine de Chevalier,90 
2003 Chateau La Conseillante,90 
2003 Chateau Lagrange,89 
2003 Baron Philippe de Rothschild Chateau d'Armailhac,90 
2003 Chateau Latour 'Les Forts de Latour',91 
2003 Chateau Brane-Cantenac,90 
2003 Chateau Cantemerle,87 
2003 Chateau Clinet,89 
2004 Chateau Mouton Rothschild,93 
2004 Chateau Lafite Rothschild,95 
2004 Petrus,94 
2004 Chateau Margaux,94 
2004 Chateau Latour,95 
2004 Chateau Haut-Brion,94 
2004 Chateau d'Yquem,93 
2004 Chateau Pontet-Canet,91 
2004 Chateau Lynch-Bages,91 
2004 Chateau Cheval Blanc,93 
2004 Chateau Pichon Longueville Comtesse de Lalande,92 
2004 Chateau Cos d'Estournel,93 
2004 Chateau Leoville-Las Cases 'Grand Vin de Leoville',93 
2004 Chateau Montrose,92 
2004 Chateau Palmer,92 
2004 Chateau Ducru-Beaucaillou,92 
2004 Chateau Leoville Poyferre,92 
2004 Chateau Pichon-Longueville au Baron de Pichon-Longueville,92 
2004 Chateau La Mission Haut-Brion,92 
2004 Chateau Angelus,93 
2004 Chateau Leoville Barton,92 
2004 Chateau Figeac,91 
2004 Chateau Pavie,92 
2004 Chateau Talbot,89 
2004 Chateau Smith Haut Lafitte,91 
2004 Chateau Calon-Segur,88 
2004 Chateau Lafleur,93 
2004 Chateau Lascombes,90 
2004 Chateau Pape Clement,92 
2004 Chateau Ausone,94 
2004 Vieux Chateau Certan,92 
2004 Chateau Canon,90 
2004 Chateau Gruaud-Larose,90 
2004 Chateau Branaire-Ducru,89 
2004 Chateau Rauzan-Segla,90 
2004 Chateau Giscours,90 
2004 Chateau Beychevelle,89 
2004 Chateau Grand-Puy-Lacoste,91 
2004 Chateau Lafite Rothschild 'Carruades de Lafite',88 
2004 Chateau Duhart-Milon,90 
2004 Chateau Troplong Mondot,91 
2004 Le Pin,94 
2004 Chateau La Fleur-Petrus,90 
2004 Domaine de Chevalier,91 
2004 Chateau La Conseillante,91 
2004 Chateau Lagrange,90 
2004 Baron Philippe de Rothschild Chateau d'Armailhac,89 
2004 Chateau Latour 'Les Forts de Latour',91 
2004 Chateau Brane-Cantenac,90 
2004 Chateau Cantemerle,87 
2005 Chateau Mouton Rothschild,96 
2005 Chateau Lafite Rothschild,96 
2005 Petrus,97 
2005 Chateau Margaux,97 
2005 Chateau Latour,97 
2005 Chateau Haut-Brion,97 
2005 Chateau d'Yquem,96 
2005 Chateau Pontet-Canet,94 
2005 Chateau Lynch-Bages,93 
2005 Chateau Cheval Blanc,96 
2005 Chateau Pichon Longueville Comtesse de Lalande,93 
2005 Chateau Cos d'Estournel,95 
2005 Chateau Leoville-Las Cases 'Grand Vin de Leoville',96 
2005 Chateau Montrose,94 
2005 Chateau Palmer,95 
2005 Chateau Ducru-Beaucaillou,94 
2005 Chateau Leoville Poyferre,93 
2005 Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 
2005 Chateau La Mission Haut-Brion,96 
2005 Chateau Angelus,95 
2005 Chateau Leoville Barton,94 
2005 Chateau Figeac,93 
2005 Chateau Pavie,95 
2005 Chateau Talbot,91 
2005 Chateau Smith Haut Lafitte,94 
2005 Chateau Calon-Segur,93 
2005 Chateau Lafleur,97 
2005 Chateau Lascombes,91 
2005 Chateau Pape Clement,94 
2005 Chateau Ausone,98 
2005 Vieux Chateau Certan,95 
2005 Chateau Canon,92 
2005 Chateau Gruaud-Larose,91 
2005 Chateau Branaire-Ducru,92 
2005 Chateau Rauzan-Segla,94 
2005 Chateau Giscours,92 
2005 Chateau Beychevelle,91 
2005 Chateau Grand-Puy-Lacoste,93 
2005 Chateau Lafite Rothschild 'Carruades de Lafite',90 
2005 Chateau Duhart-Milon,91 
2005 Chateau Troplong Mondot,95 
2005 Le Pin,94 
2005 Chateau La Fleur-Petrus,93 
2005 Domaine de Chevalier,92 
2005 Chateau La Conseillante,95 
2005 Chateau Lagrange,91 
2005 Baron Philippe de Rothschild Chateau d'Armailhac,90 
2005 Chateau Latour 'Les Forts de Latour',92 
2005 Chateau Brane-Cantenac,92 
2005 Chateau Cantemerle,89 
2006 Chateau Mouton Rothschild,94 
2006 Chateau Lafite Rothschild,94 
2006 Petrus,94 
2006 Chateau Margaux,94 
2006 Chateau Latour,94 
2006 Chateau Haut-Brion,95 
2006 Chateau d'Yquem,96 
2006 Chateau Pontet-Canet,93 
2006 Chateau Lynch-Bages,91 
2006 Chateau Cheval Blanc,94 
2006 Chateau Pichon Longueville Comtesse de Lalande,92 
2006 Chateau Cos d'Estournel,93 
2006 Chateau Leoville-Las Cases 'Grand Vin de Leoville',93 
2006 Chateau Montrose,91 
2006 Chateau Palmer,93 
2006 Chateau Ducru-Beaucaillou,93 
2006 Chateau Leoville Poyferre,91 
2006 Chateau Pichon-Longueville au Baron de Pichon-Longueville,92 
2006 Chateau La Mission Haut-Brion,93 
2006 Chateau Angelus,93 
2006 Chateau Leoville Barton,91 
2006 Chateau Figeac,91 
2006 Chateau Pavie,93 
2006 Chateau Talbot,89 
2006 Chateau Smith Haut Lafitte,91 
2006 Chateau Calon-Segur,91 
2006 Chateau Lafleur,93 
2006 Chateau Lascombes,89 
2006 Chateau Pape Clement,92 
2006 Chateau Ausone,95 
2006 Vieux Chateau Certan,94 
2006 Chateau Canon,91 
2006 Chateau Gruaud-Larose,90 
2006 Chateau Branaire-Ducru,91 
2006 Chateau Rauzan-Segla,92 
2006 Chateau Giscours,90 
2006 Chateau Beychevelle,90 
2006 Chateau Grand-Puy-Lacoste,91 
2006 Chateau Lafite Rothschild 'Carruades de Lafite',89 
2006 Chateau Duhart-Milon,89 
2006 Chateau Troplong Mondot,92 
2006 Le Pin,94 
2006 Chateau La Fleur-Petrus,92 
2006 Domaine de Chevalier,91 
2006 Chateau La Conseillante,93 
2006 Chateau Lagrange,90 
2006 Baron Philippe de Rothschild Chateau d'Armailhac,89 
2006 Chateau Latour 'Les Forts de Latour',90 
2006 Chateau Brane-Cantenac,90 
2006 Chateau Cantemerle,89 
2007 Chateau Mouton Rothschild,93 
2007 Chateau Lafite Rothschild,93 
2007 Petrus,93 
2007 Chateau Margaux,93 
2007 Chateau Latour,92 
2007 Chateau Haut-Brion,94 
2007 Chateau d'Yquem,97 
2007 Chateau Pontet-Canet,91 
2007 Chateau Lynch-Bages,90 
2007 Chateau Cheval Blanc,92 
2007 Chateau Pichon Longueville Comtesse de Lalande,90 
2007 Chateau Cos d'Estournel,91 
2007 Chateau Leoville-Las Cases 'Grand Vin de Leoville',93 
2007 Chateau Montrose,91 
2007 Chateau Palmer,91 
2007 Chateau Ducru-Beaucaillou,91 
2007 Chateau Leoville Poyferre,90 
2007 Chateau Pichon-Longueville au Baron de Pichon-Longueville,92 
2007 Chateau La Mission Haut-Brion,92 
2007 Chateau Angelus,92 
2007 Chateau Leoville Barton,92 
2007 Chateau Figeac,90 
2007 Chateau Pavie,92 
2007 Chateau Talbot,88 
2007 Chateau Smith Haut Lafitte,90 
2007 Chateau Calon-Segur,89 
2007 Chateau Lafleur,93 
2007 Chateau Lascombes,88 
2007 Chateau Pape Clement,91 
2007 Chateau Ausone,93 
2007 Vieux Chateau Certan,91 
2007 Chateau Canon,89 
2007 Chateau Gruaud-Larose,89 
2007 Chateau Branaire-Ducru,89 
2007 Chateau Rauzan-Segla,90 
2007 Chateau Giscours,89 
2007 Chateau Beychevelle,89 
2007 Chateau Grand-Puy-Lacoste,90 
2007 Chateau Lafite Rothschild 'Carruades de Lafite',88 
2007 Chateau Duhart-Milon,89 
2007 Chateau Troplong Mondot,91 
2007 Le Pin,91 
2007 Chateau La Fleur-Petrus,90 
2007 Domaine de Chevalier,90 
2007 Chateau La Conseillante,90 
2007 Chateau Lagrange,90 
2007 Baron Philippe de Rothschild Chateau d'Armailhac,88 
2007 Chateau Latour 'Les Forts de Latour',90 
2007 Chateau Brane-Cantenac,88 
2007 Chateau Cantemerle,87 
2008 Chateau Mouton Rothschild,95 
2008 Chateau Lafite Rothschild,94 
2008 Petrus,95 
2008 Chateau Margaux,94 
2008 Chateau Latour,95 
2008 Chateau Haut-Brion,94 
2008 Chateau d'Yquem,95 
2008 Chateau Pontet-Canet,92 
2008 Chateau Lynch-Bages,91 
2008 Chateau Cheval Blanc,94 
2008 Chateau Pichon Longueville Comtesse de Lalande,91 
2008 Chateau Cos d'Estournel,93 
2008 Chateau Leoville-Las Cases 'Grand Vin de Leoville',94 
2008 Chateau Montrose,92 
2008 Chateau Palmer,93 
2008 Chateau Ducru-Beaucaillou,93 
2008 Chateau Leoville Poyferre,92 
2008 Chateau Pichon-Longueville au Baron de Pichon-Longueville,93 
2008 Chateau La Mission Haut-Brion,93 
2008 Chateau Angelus,93 
2008 Chateau Leoville Barton,92 
2008 Chateau Figeac,91 
2008 Chateau Pavie,93 
2008 Chateau Talbot,89 
2008 Chateau Smith Haut Lafitte,91 
2008 Chateau Calon-Segur,91 
2008 Chateau Lafleur,94 
2008 Chateau Lascombes,90 
2008 Chateau Pape Clement,92 
2008 Chateau Ausone,95 
2008 Vieux Chateau Certan,93 
2008 Chateau Canon,91 
2008 Chateau Gruaud-Larose,90 
2008 Chateau Branaire-Ducru,90 
2008 Chateau Rauzan-Segla,91 
2008 Chateau Giscours,90 
2008 Chateau Beychevelle,90 
2008 Chateau Grand-Puy-Lacoste,90 
2008 Chateau Lafite Rothschild 'Carruades de Lafite',90 
2008 Chateau Duhart-Milon,91 
2008 Chateau Troplong Mondot,92 
2008 Le Pin,94 
2008 Chateau La Fleur-Petrus,92 
2008 Domaine de Chevalier,92 
2008 Chateau La Conseillante,92 
2008 Chateau Lagrange,90 
2008 Baron Philippe de Rothschild Chateau d'Armailhac,89 
2008 Chateau Latour 'Les Forts de Latour',91 
2008 Chateau Brane-Cantenac,90 
2008 Chateau Cantemerle,88 
2009 Chateau Mouton Rothschild,97 
2009 Chateau Lafite Rothschild,96 
2009 Petrus,97 
2009 Chateau Margaux,98 
2009 Chateau Latour,97 
2009 Chateau Haut-Brion,97 
2009 Chateau d'Yquem,97 
2009 Chateau Pontet-Canet,96 
2009 Chateau Lynch-Bages,94 
2009 Chateau Cheval Blanc,97 
2009 Chateau Pichon Longueville Comtesse de Lalande,94 
2009 Chateau Cos d'Estournel,95 
2009 Chateau Leoville-Las Cases 'Grand Vin de Leoville',96 
2009 Chateau Montrose,96 
2009 Chateau Palmer,96 
2009 Chateau Ducru-Beaucaillou,96 
2009 Chateau Leoville Poyferre,95 
2009 Chateau Pichon-Longueville au Baron de Pichon-Longueville,95 
2009 Chateau La Mission Haut-Brion,96 
2009 Chateau Angelus,95 
2009 Chateau Leoville Barton,94 
2009 Chateau Figeac,95 
2009 Chateau Pavie,94 
2009 Chateau Talbot,92 
2009 Chateau Smith Haut Lafitte,94 
2009 Chateau Calon-Segur,94 
2009 Chateau Lafleur,97 
2009 Chateau Lascombes,92 
2009 Chateau Pape Clement,94 
2009 Chateau Ausone,97 
2009 Vieux Chateau Certan,96 
2009 Chateau Canon,93 
2009 Chateau Gruaud-Larose,93 
2009 Chateau Branaire-Ducru,93 
2009 Chateau Rauzan-Segla,93 
2009 Chateau Giscours,92 
2009 Chateau Beychevelle,92 
2009 Chateau Grand-Puy-Lacoste,94 
2009 Chateau Lafite Rothschild 'Carruades de Lafite',91 
2009 Chateau Duhart-Milon,92 
2009 Chateau Troplong Mondot,94 
2009 Le Pin,96 
2009 Chateau La Fleur-Petrus,94 
2009 Domaine de Chevalier,94 
2009 Chateau La Conseillante,95 
2009 Chateau Lagrange,92 
2009 Baron Philippe de Rothschild Chateau d'Armailhac,92 
2009 Chateau Latour 'Les Forts de Latour',93 
2009 Chateau Brane-Cantenac,92 
2009 Chateau Cantemerle,90 
