Wines,Points,Year
Chateau Mouton Rothschild,94 ,2000 
Chateau Lafite Rothschild,96 ,2000 
Petrus,97 ,2000 
Chateau Margaux,97 ,2000 
Chateau Latour,96 ,2000 
Chateau Haut-Brion,96 ,2000 
Chateau d'Yquem,92 ,2000 
Chateau Pontet-Canet,92 ,2000 
Chateau Lynch-Bages,93 ,2000 
Chateau Cheval Blanc,95 ,2000 
Chateau Pichon Longueville Comtesse de Lalande,93 ,2000 
Chateau Cos d'Estournel,93 ,2000 
Chateau Leoville-Las Cases 'Grand Vin de Leoville',95 ,2000 
Chateau Montrose,94 ,2000 
Chateau Palmer,93 ,2000 
Chateau Ducru-Beaucaillou,93 ,2000 
Chateau Leoville Poyferre,93 ,2000 
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,2000 
Chateau La Mission Haut-Brion,95 ,2000 
Chateau Angelus,94 ,2000 
Chateau Leoville Barton,94 ,2000 
Chateau Figeac,91 ,2000 
Chateau Pavie,95 ,2000 
Chateau Talbot,90 ,2000 
Chateau Smith Haut Lafitte,91 ,2000 
Chateau Calon-Segur,91 ,2000 
Chateau Lafleur,97 ,2000 
Chateau Lascombes,89 ,2000 
Chateau Pape Clement,93 ,2000 
Chateau Ausone,97 ,2000 
Vieux Chateau Certan,94 ,2000 
Chateau Canon,91 ,2000 
Chateau Gruaud-Larose,92 ,2000 
Chateau Branaire-Ducru,91 ,2000 
Chateau Rauzan-Segla,91 ,2000 
Chateau Giscours,91 ,2000 
Chateau Beychevelle,91 ,2000 
Chateau Grand-Puy-Lacoste,92 ,2000 
Chateau Lafite Rothschild 'Carruades de Lafite',89 ,2000 
Chateau Duhart-Milon,90 ,2000 
Chateau Troplong Mondot,92 ,2000 
Le Pin,95 ,2000 
Chateau La Fleur-Petrus,92 ,2000 
Domaine de Chevalier,92 ,2000 
Chateau La Conseillante,93 ,2000 
Chateau Lagrange,91 ,2000 
Baron Philippe de Rothschild Chateau d'Armailhac,89 ,2000 
Chateau Latour 'Les Forts de Latour',92 ,2000 
Chateau Brane-Cantenac,91 ,2000 
Chateau Cantemerle,89 ,2000 
au Mouton Rothschild,96 ,Chate
au Lafite Rothschild,95 ,Chate
s,96 ,Petru
au Margaux,96 ,Chate
au Latour,96 ,Chate
au Haut-Brion,96 ,Chate
au d'Yquem,96 ,Chate
au Pontet-Canet,95 ,Chate
au Lynch-Bages,93 ,Chate
au Cheval Blanc,95 ,Chate
au Pichon Longueville Comtesse de Lalande,94 ,Chate
Chateau La Mission Haut-Brion,91 ,2002 
Chateau Branaire-Ducru,88 ,2002 
Chateau Suduiraut,92 ,2002 
Chateau Latour-Martillac,88 ,2002 
Chateau Puy Blanquet,0,2002 
Chateau Fontesteau,0,2002 
Chateau Lavillotte,0,2002 
Chateau Logis du Roy,0,2002 
Chateau Mouton Rothschild,93 ,2003 
Chateau Lafite Rothschild,95 ,2003 
Chateau Latour,97 ,2003 
Chateau Haut-Brion,94 ,2003 
Chateau Pichon-Longueville au Baron de Pichon-Longueville,93 ,2003 
Chateau Suduiraut,93 ,2003 
Pavillon Blanc du Chateau Margaux,89 ,2003 
Chateau Doisy-Vedrines,90 ,2003 
Chateau Mouton Rothschild,93 ,2004 
Chateau Lafite Rothschild,95 ,2004 
Petrus,94 ,2004 
Chateau Margaux,94 ,2004 
Chateau Latour,95 ,2004 
Chateau Haut-Brion,94 ,2004 
Chateau d'Yquem,93 ,2004 
Chateau Pontet-Canet,91 ,2004 
Chateau Lynch-Bages,91 ,2004 
Chateau Cheval Blanc,93 ,2004 
Chateau Pichon Longueville Comtesse de Lalande,92 ,2004 
Chateau Cos d'Estournel,93 ,2004 
Chateau Leoville-Las Cases 'Grand Vin de Leoville',93 ,2004 
Chateau Montrose,92 ,2004 
Chateau Palmer,92 ,2004 
Chateau Ducru-Beaucaillou,92 ,2004 
Chateau Leoville Poyferre,92 ,2004 
Chateau Pichon-Longueville au Baron de Pichon-Longueville,92 ,2004 
Chateau La Mission Haut-Brion,92 ,2004 
Chateau Angelus,93 ,2004 
Chateau Leoville Barton,92 ,2004 
Chateau Figeac,91 ,2004 
Chateau Pavie,92 ,2004 
Chateau Talbot,89 ,2004 
Chateau Smith Haut Lafitte,91 ,2004 
Chateau Calon-Segur,88 ,2004 
Chateau Lafleur,93 ,2004 
Chateau Lascombes,90 ,2004 
Chateau Pape Clement,92 ,2004 
Chateau Ausone,94 ,2004 
Vieux Chateau Certan,92 ,2004 
Chateau Canon,90 ,2004 
Chateau Gruaud-Larose,90 ,2004 
Chateau Branaire-Ducru,89 ,2004 
Chateau Rauzan-Segla,90 ,2004 
Chateau Giscours,90 ,2004 
Chateau Beychevelle,89 ,2004 
Chateau Grand-Puy-Lacoste,91 ,2004 
Chateau Lafite Rothschild 'Carruades de Lafite',88 ,2004 
Chateau Duhart-Milon,90 ,2004 
Chateau Troplong Mondot,91 ,2004 
Le Pin,94 ,2004 
Chateau La Fleur-Petrus,90 ,2004 
Domaine de Chevalier,91 ,2004 
Chateau La Conseillante,91 ,2004 
Chateau Lagrange,90 ,2004 
Baron Philippe de Rothschild Chateau d'Armailhac,89 ,2004 
Chateau Latour 'Les Forts de Latour',91 ,2004 
Chateau Brane-Cantenac,90 ,2004 
Chateau Cantemerle,87 ,2004 
Chateau Mouton Rothschild,96 ,2005 
Chateau Lafite Rothschild,95 ,2005 
Petrus,97 ,2005 
Chateau Margaux,97 ,2005 
Chateau Latour,97 ,2005 
Chateau Haut-Brion,97 ,2005 
Chateau d'Yquem,96 ,2005 
Chateau Pontet-Canet,94 ,2005 
Chateau Lynch-Bages,93 ,2005 
Chateau Cheval Blanc,96 ,2005 
Chateau Pichon Longueville Comtesse de Lalande,93 ,2005 
Chateau Cos d'Estournel,95 ,2005 
Chateau Leoville-Las Cases 'Grand Vin de Leoville',96 ,2005 
Chateau Montrose,94 ,2005 
Chateau Palmer,95 ,2005 
Chateau Ducru-Beaucaillou,94 ,2005 
Chateau Leoville Poyferre,93 ,2005 
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,2005 
Chateau La Mission Haut-Brion,96 ,2005 
Chateau Angelus,95 ,2005 
Chateau Leoville Barton,94 ,2005 
Chateau Figeac,93 ,2005 
Chateau Pavie,95 ,2005 
Chateau Talbot,91 ,2005 
Chateau Smith Haut Lafitte,94 ,2005 
Chateau Calon-Segur,93 ,2005 
Chateau Lafleur,97 ,2005 
Chateau Lascombes,91 ,2005 
Chateau Pape Clement,94 ,2005 
Chateau Ausone,98 ,2005 
Vieux Chateau Certan,95 ,2005 
Chateau Canon,92 ,2005 
Chateau Gruaud-Larose,91 ,2005 
Chateau Branaire-Ducru,92 ,2005 
Chateau Rauzan-Segla,94 ,2005 
Chateau Giscours,92 ,2005 
Chateau Beychevelle,91 ,2005 
Chateau Grand-Puy-Lacoste,93 ,2005 
Chateau Lafite Rothschild 'Carruades de Lafite',90 ,2005 
Chateau Duhart-Milon,91 ,2005 
Chateau Troplong Mondot,95 ,2005 
Le Pin,94 ,2005 
Chateau La Fleur-Petrus,93 ,2005 
Domaine de Chevalier,92 ,2005 
Chateau La Conseillante,95 ,2005 
Chateau Lagrange,91 ,2005 
Baron Philippe de Rothschild Chateau d'Armailhac,90 ,2005 
Chateau Latour 'Les Forts de Latour',92 ,2005 
Chateau Brane-Cantenac,92 ,2005 
Chateau Cantemerle,89 ,2005 
Chateau Mouton Rothschild,94 ,2006 
Chateau Lafite Rothschild,94 ,2006 
Chateau Margaux,94 ,2006 
Chateau Haut-Brion,95 ,2006 
Chateau Pontet-Canet,93 ,2006 
Chateau Lynch-Bages,91 ,2006 
Chateau Palmer,93 ,2006 
Chateau Ducru-Beaucaillou,93 ,2006 
Chateau Leoville Poyferre,91 ,2006 
Chateau La Mission Haut-Brion,93 ,2006 
Chateau Giscours,90 ,2006 
Chateau Lafite Rothschild 'Carruades de Lafite',89 ,2006 
Domaine de Chevalier,91 ,2006 
Chateau Haut-Bailly,92 ,2006 
Chateau L'Eglise-Clinet,94 ,2006 
Chateau Leoville-Las Cases 'Clos du Marquis',90 ,2006 
Chateau Climens,95 ,2006 
Pavillon Blanc du Chateau Margaux,92 ,2006 
Chateau Nenin,90 ,2006 
Chateau de Fargues,92 ,2006 
Chateau Cos d'Estournel Blanc,89 ,2006 
Chateau Bellevue-Mondotte,92 ,2006 
Denis Dubourdieu Chateau Doisy-Daene L'Extravagant de Doisy-Daene,95 ,2006 
Chateau Batailley Grand Cru,88 ,2007 
Chateau Haut-Batailley,88 ,2007 
Chateau Gruaud-Larose 'Sarget de Gruaud-Larose',86 ,2007 
Chateau Trotte Vieille,88 ,2007 
Chateau Giscours La Sirene de Giscours,85 ,2007 
Chateau Monteils,0,2007 
Chateau La Fleur-Petrus,92 ,2008 
Chateau Clerc-Milon,90 ,2008 
Chateau Mouton Rothschild,97 ,2009 
Chateau Lafite Rothschild,96 ,2009 
Petrus,97 ,2009 
Chateau Margaux,98 ,2009 
Chateau Latour,97 ,2009 
Chateau Haut-Brion,97 ,2009 
Chateau d'Yquem,97 ,2009 
Chateau Pontet-Canet,96 ,2009 
Chateau Lynch-Bages,94 ,2009 
Chateau Cheval Blanc,97 ,2009 
Chateau Pichon Longueville Comtesse de Lalande,94 ,2009 
Chateau Cos d'Estournel,95 ,2009 
Chateau Leoville-Las Cases 'Grand Vin de Leoville',96 ,2009 
Chateau Montrose,96 ,2009 
Chateau Palmer,96 ,2009 
Chateau Ducru-Beaucaillou,96 ,2009 
Chateau Leoville Poyferre,95 ,2009 
Chateau Pichon-Longueville au Baron de Pichon-Longueville,95 ,2009 
Chateau La Mission Haut-Brion,96 ,2009 
Chateau Angelus,95 ,2009 
Chateau Leoville Barton,94 ,2009 
Chateau Figeac,95 ,2009 
Chateau Pavie,94 ,2009 
Chateau Talbot,92 ,2009 
Chateau Smith Haut Lafitte,94 ,2009 
Chateau Calon-Segur,94 ,2009 
Chateau Lafleur,97 ,2009 
Chateau Lascombes,92 ,2009 
Chateau Pape Clement,94 ,2009 
Chateau Ausone,97 ,2009 
Vieux Chateau Certan,96 ,2009 
Chateau Canon,93 ,2009 
Chateau Gruaud-Larose,93 ,2009 
Chateau Branaire-Ducru,93 ,2009 
Chateau Rauzan-Segla,93 ,2009 
Chateau Giscours,92 ,2009 
Chateau Beychevelle,92 ,2009 
Chateau Grand-Puy-Lacoste,94 ,2009 
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,2009 
Chateau Duhart-Milon,92 ,2009 
Chateau Troplong Mondot,94 ,2009 
Le Pin,96 ,2009 
Chateau La Fleur-Petrus,94 ,2009 
Domaine de Chevalier,93 ,2009 
Chateau La Conseillante,95 ,2009 
Chateau Lagrange,92 ,2009 
Baron Philippe de Rothschild Chateau d'Armailhac,92 ,2009 
Chateau Latour 'Les Forts de Latour',93 ,2009 
Chateau Brane-Cantenac,92 ,2009 
Chateau Cantemerle,90 ,2009 
Chateau Mouton Rothschild,97 ,2010 
Chateau Lafite Rothschild,97 ,2010 
Petrus,97 ,2010 
Chateau Margaux,97 ,2010 
Chateau Latour,98 ,2010 
Chateau Haut-Brion,97 ,2010 
Chateau d'Yquem,96 ,2010 
Chateau Pontet-Canet,96 ,2010 
Chateau Lynch-Bages,94 ,2010 
Chateau Cheval Blanc,97 ,2010 
Chateau Pichon Longueville Comtesse de Lalande,94 ,2010 
Chateau Cos d'Estournel,96 ,2010 
Chateau Leoville-Las Cases 'Grand Vin de Leoville',96 ,2010 
Chateau Montrose,96 ,2010 
Chateau Palmer,96 ,2010 
Chateau Ducru-Beaucaillou,96 ,2010 
Chateau Leoville Poyferre,95 ,2010 
Chateau Pichon-Longueville au Baron de Pichon-Longueville,96 ,2010 
Chateau La Mission Haut-Brion,97 ,2010 
Chateau Angelus,95 ,2010 
Chateau Leoville Barton,94 ,2010 
Chateau Figeac,95 ,2010 
Chateau Pavie,95 ,2010 
Chateau Talbot,91 ,2010 
Chateau Smith Haut Lafitte,94 ,2010 
Chateau Calon-Segur,93 ,2010 
Chateau Lafleur,97 ,2010 
Chateau Lascombes,92 ,2010 
Chateau Pape Clement,94 ,2010 
Chateau Ausone,97 ,2010 
Vieux Chateau Certan,96 ,2010 
Chateau Canon,93 ,2010 
Chateau Gruaud-Larose,92 ,2010 
Chateau Branaire-Ducru,93 ,2010 
Chateau Rauzan-Segla,94 ,2010 
Chateau Giscours,92 ,2010 
Chateau Beychevelle,92 ,2010 
Chateau Grand-Puy-Lacoste,93 ,2010 
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,2010 
Chateau Duhart-Milon,92 ,2010 
Chateau Troplong Mondot,94 ,2010 
Le Pin,97 ,2010 
Chateau La Fleur-Petrus,94 ,2010 
Domaine de Chevalier,94 ,2010 
Chateau La Conseillante,95 ,2010 
Chateau Lagrange,92 ,2010 
Baron Philippe de Rothschild Chateau d'Armailhac,92 ,2010 
Chateau Latour 'Les Forts de Latour',93 ,2010 
Chateau Brane-Cantenac,93 ,2010 
Chateau Cantemerle,91 ,2010 
Chateau Mouton Rothschild,94 ,2011 
Chateau Lafite Rothschild,94 ,2011 
Petrus,94 ,2011 
Chateau Margaux,94 ,2011 
Chateau Latour,94 ,2011 
Chateau Haut-Brion,94 ,2011 
Chateau d'Yquem,96 ,2011 
Chateau Pontet-Canet,93 ,2011 
Chateau Lynch-Bages,91 ,2011 
Chateau Cheval Blanc,94 ,2011 
Chateau Pichon Longueville Comtesse de Lalande,92 ,2011 
Chateau Cos d'Estournel,92 ,2011 
Chateau Leoville-Las Cases 'Grand Vin de Leoville',93 ,2011 
Chateau Montrose,92 ,2011 
Chateau Palmer,93 ,2011 
Chateau Ducru-Beaucaillou,93 ,2011 
Chateau Leoville Poyferre,92 ,2011 
Chateau Pichon-Longueville au Baron de Pichon-Longueville,92 ,2011 
Chateau La Mission Haut-Brion,93 ,2011 
Chateau Angelus,93 ,2011 
Chateau Leoville Barton,92 ,2011 
Chateau Figeac,92 ,2011 
Chateau Pavie,92 ,2011 
Chateau Talbot,90 ,2011 
Chateau Smith Haut Lafitte,92 ,2011 
Chateau Calon-Segur,92 ,2011 
Chateau Lafleur,94 ,2011 
Chateau Lascombes,90 ,2011 
Chateau Pape Clement,91 ,2011 
Chateau Ausone,95 ,2011 
Vieux Chateau Certan,94 ,2011 
Chateau Canon,92 ,2011 
Chateau Gruaud-Larose,90 ,2011 
Chateau Branaire-Ducru,91 ,2011 
Chateau Rauzan-Segla,91 ,2011 
Chateau Giscours,90 ,2011 
Chateau Beychevelle,90 ,2011 
Chateau Grand-Puy-Lacoste,91 ,2011 
Chateau Lafite Rothschild 'Carruades de Lafite',89 ,2011 
Chateau Duhart-Milon,90 ,2011 
Chateau Troplong Mondot,92 ,2011 
Le Pin,93 ,2011 
Chateau La Fleur-Petrus,92 ,2011 
Domaine de Chevalier,92 ,2011 
Chateau La Conseillante,92 ,2011 
Chateau Lagrange,90 ,2011 
Baron Philippe de Rothschild Chateau d'Armailhac,90 ,2011 
Chateau Latour 'Les Forts de Latour',91 ,2011 
Chateau Brane-Cantenac,91 ,2011 
Chateau Cantemerle,88 ,2011 
Chateau Pontet-Canet,93 ,2012 
Chateau Lascombes,90 ,2012 
Chateau Clerc-Milon,91 ,2012 
Le Clarence de Haut-Brion - Chateau Bahans Haut-Brion,90 ,2012 
Chateau Faugeres,89 ,2012 
La Clarte de Haut-Brion Blanc,90 ,2012 
Donjon de Lamarque,88 ,2012 
Chateau La Peyreyre,0,2012 
Chateau Mouton Rothschild,93 ,2013 
Chateau Lafite Rothschild,92 ,2013 
Petrus,93 ,2013 
Chateau Margaux,93 ,2013 
Chateau Latour,93 ,2013 
Chateau Haut-Brion,93 ,2013 
Chateau d'Yquem,96 ,2013 
Chateau Pontet-Canet,92 ,2013 
Chateau Lynch-Bages,89 ,2013 
Chateau Cheval Blanc,92 ,2013 
Chateau Pichon Longueville Comtesse de Lalande,90 ,2013 
Chateau Cos d'Estournel,91 ,2013 
Chateau Leoville-Las Cases 'Grand Vin de Leoville',92 ,2013 
Chateau Montrose,92 ,2013 
Chateau Palmer,91 ,2013 
Chateau Ducru-Beaucaillou,92 ,2013 
Chateau Leoville Poyferre,91 ,2013 
Chateau Pichon-Longueville au Baron de Pichon-Longueville,91 ,2013 
Chateau La Mission Haut-Brion,92 ,2013 
Chateau Angelus,92 ,2013 
Chateau Leoville Barton,91 ,2013 
Chateau Figeac,92 ,2013 
Chateau Pavie,91 ,2013 
Chateau Talbot,89 ,2013 
Chateau Smith Haut Lafitte,90 ,2013 
Chateau Calon-Segur,91 ,2013 
Chateau Lafleur,92 ,2013 
Chateau Lascombes,89 ,2013 
Chateau Pape Clement,90 ,2013 
Chateau Ausone,92 ,2013 
Vieux Chateau Certan,91 ,2013 
Chateau Canon,90 ,2013 
Chateau Gruaud-Larose,89 ,2013 
Chateau Branaire-Ducru,89 ,2013 
Chateau Rauzan-Segla,90 ,2013 
Chateau Giscours,89 ,2013 
Chateau Beychevelle,90 ,2013 
Chateau Grand-Puy-Lacoste,89 ,2013 
Chateau Lafite Rothschild 'Carruades de Lafite',88 ,2013 
Chateau Duhart-Milon,88 ,2013 
Chateau Troplong Mondot,90 ,2013 
