Name,Rating,Region,Year
Chateau Lafite Rothschild,95 ,"Pauillac, France",1996
Chateau Latour,96 ,"Pauillac, France",1996
Chateau Pontet-Canet,95 ,"Pauillac, France",1996
Chateau Lynch-Bages,93 ,"Pauillac, France",1996
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",1996
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",1996
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",1996
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",1996
Chateau Duhart-Milon,91 ,"Pauillac, France",1996
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",1996
1997 Chateau Mouton Rothschild,90 ,"Pauillac, France",1997
1997 Chateau Lafite Rothschild,92 ,"Pauillac, France",1997
1997 Chateau Latour,90 ,"Pauillac, France",1997
1997 Chateau Lynch-Bages,87 ,"Pauillac, France",1997
1997 Chateau Pichon Longueville Comtesse de Lalande,88 ,"Pauillac, France",1997
1997 Chateau Pichon-Longueville au Baron de Pichon-Longueville,88 ,"Pauillac, France",1997
1997 Chateau Grand-Puy-Lacoste,87 ,"Pauillac, France",1997
1997 Chateau Lafite Rothschild 'Carruades de Lafite',87 ,"Pauillac, France",1997
1997 Chateau Duhart-Milon,87 ,"Pauillac, France",1997
1997 Baron Philippe de Rothschild Chateau d'Armailhac,86 ,"Pauillac, France",1997
1997 Chateau Latour 'Les Forts de Latour',88 ,"Pauillac, France",1997
1997 Chateau Pichon Longueville Comtesse de Lalande 'Pichon Comtesse Reserve',86 ,"Pauillac, France",1997
1997 Le Petit Mouton de Mouton Rothschild,85 ,"Pauillac, France",1997
1997 Chateau Lynch-Moussas,83 ,"Pauillac, France",1997
1997 Chateau La Fleur Peyrabon,85 ,"Pauillac, France",1997
Chateau Mouton Rothschild,96 ,"Pauillac, France",1997
Chateau Lafite Rothschild,95 ,"Pauillac, France",1997
Chateau Latour,96 ,"Pauillac, France",1997
Chateau Pontet-Canet,95 ,"Pauillac, France",1997
Chateau Lynch-Bages,93 ,"Pauillac, France",1997
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",1997
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",1997
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",1997
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",1997
Chateau Duhart-Milon,91 ,"Pauillac, France",1997
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",1997
1998 Chateau Pichon Longueville Comtesse de Lalande,90 ,"Pauillac, France",1998
1998 Chateau Pichon-Longueville au Baron de Pichon-Longueville,91 ,"Pauillac, France",1998
1998 Le Petit Mouton de Mouton Rothschild,86 ,"Pauillac, France",1998
Chateau Mouton Rothschild,96 ,"Pauillac, France",1998
Chateau Lafite Rothschild,95 ,"Pauillac, France",1998
Chateau Latour,96 ,"Pauillac, France",1998
Chateau Pontet-Canet,95 ,"Pauillac, France",1998
Chateau Lynch-Bages,93 ,"Pauillac, France",1998
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",1998
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",1998
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",1998
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",1998
Chateau Duhart-Milon,91 ,"Pauillac, France",1998
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",1998
1999 Chateau Lafite Rothschild,92 ,"Pauillac, France",1999
Chateau Mouton Rothschild,96 ,"Pauillac, France",1999
Chateau Lafite Rothschild,95 ,"Pauillac, France",1999
Chateau Latour,96 ,"Pauillac, France",1999
Chateau Pontet-Canet,95 ,"Pauillac, France",1999
Chateau Lynch-Bages,93 ,"Pauillac, France",1999
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",1999
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",1999
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",1999
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",1999
Chateau Duhart-Milon,91 ,"Pauillac, France",1999
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",1999
2000 Chateau Mouton Rothschild,94 ,"Pauillac, France",2000
2000 Chateau Lafite Rothschild,96 ,"Pauillac, France",2000
2000 Chateau Latour,96 ,"Pauillac, France",2000
2000 Chateau Pontet-Canet,92 ,"Pauillac, France",2000
2000 Chateau Lynch-Bages,93 ,"Pauillac, France",2000
2000 Chateau Pichon Longueville Comtesse de Lalande,93 ,"Pauillac, France",2000
2000 Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",2000
2000 Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",2000
2000 Chateau Lafite Rothschild 'Carruades de Lafite',89 ,"Pauillac, France",2000
2000 Chateau Duhart-Milon,90 ,"Pauillac, France",2000
2000 Baron Philippe de Rothschild Chateau d'Armailhac,89 ,"Pauillac, France",2000
2000 Chateau Latour 'Les Forts de Latour',92 ,"Pauillac, France",2000
2000 Chateau Clerc-Milon,90 ,"Pauillac, France",2000
2000 Chateau Pichon Longueville Comtesse de Lalande 'Pichon Comtesse Reserve',90 ,"Pauillac, France",2000
2000 Chateau Latour Le Pauillac de Latour,88 ,"Pauillac, France",2000
2000 Le Petit Mouton de Mouton Rothschild,88 ,"Pauillac, France",2000
2000 Chateau Lynch-Moussas,87 ,"Pauillac, France",2000
2000 Chateau Haut-Batailley,89 ,"Pauillac, France",2000
2000 Chateau Haut-Bages Liberal,89 ,"Pauillac, France",2000
2000 Chateau Grand-Puy Ducasse,87 ,"Pauillac, France",2000
2000 Chateau Pedesclaux,87 ,"Pauillac, France",2000
2000 Chateau Pichon-Longueville Baron Les Tourelles de Longueville,89 ,"Pauillac,  France",2000
2000 Chateau Grand-Puy-Lacoste 'Lacoste-Borie',87 ,"Pauillac, France",2000
2000 Chateau Croizet-Bages,86 ,"Pauillac, France",2000
2000 Chateau Fonbadet,87 ,"Pauillac, France",2000
2000 Chateau Mouton-Rothschild Vertical Collection,0,"Pauillac, France",2000
2000 Chateau Pontet-Canet 'Les Hauts de Pontet-Canet',88 ,"Pauillac, France",2000
2000 Chateau La Fleur Peyrabon,87 ,"Pauillac, France",2000
2000 Chateau Artigues,0,"Pauillac, France",2000
2000 Baron Philippe de Rothschild Chateau La Fleur Milon,84 ,"Pauillac, France",2000
Chateau Mouton Rothschild,96 ,"Pauillac, France",2000
Chateau Lafite Rothschild,95 ,"Pauillac, France",2000
Chateau Latour,96 ,"Pauillac, France",2000
Chateau Pontet-Canet,95 ,"Pauillac, France",2000
Chateau Lynch-Bages,93 ,"Pauillac, France",2000
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",2000
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",2000
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",2000
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",2000
Chateau Duhart-Milon,91 ,"Pauillac, France",2000
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",2000
2001 Chateau Mouton Rothschild,92 ,"Pauillac, France",2001
2001 Chateau Lafite Rothschild,94 ,"Pauillac, France",2001
2001 Chateau Latour,94 ,"Pauillac, France",2001
2001 Chateau Pontet-Canet,90 ,"Pauillac, France",2001
2001 Chateau Lynch-Bages,90 ,"Pauillac, France",2001
2001 Chateau Pichon Longueville Comtesse de Lalande,92 ,"Pauillac, France",2001
2001 Chateau Pichon-Longueville au Baron de Pichon-Longueville,92 ,"Pauillac, France",2001
2001 Chateau Grand-Puy-Lacoste,89 ,"Pauillac, France",2001
2001 Chateau Lafite Rothschild 'Carruades de Lafite',88 ,"Pauillac, France",2001
2001 Chateau Latour 'Les Forts de Latour',90 ,"Pauillac, France",2001
2001 Chateau Batailley Grand Cru,88 ,"Pauillac, France",2001
2001 Chateau Lynch-Moussas,88 ,"Pauillac, France",2001
2001 Chateau Haut-Bages Liberal,89 ,"Pauillac, France",2001
2001 Chateau La Fleur Peyrabon,89 ,"Pauillac, France",2001
Chateau Mouton Rothschild,96 ,"Pauillac, France",2001
Chateau Lafite Rothschild,95 ,"Pauillac, France",2001
Chateau Latour,96 ,"Pauillac, France",2001
Chateau Pontet-Canet,95 ,"Pauillac, France",2001
Chateau Lynch-Bages,93 ,"Pauillac, France",2001
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",2001
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",2001
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",2001
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",2001
Chateau Duhart-Milon,91 ,"Pauillac, France",2001
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",2001
2002 Chateau Mouton Rothschild,93 ,"Pauillac, France",2002
2002 Chateau Lafite Rothschild,93 ,"Pauillac, France",2002
2002 Chateau Latour,95 ,"Pauillac, France",2002
2002 Chateau Pontet-Canet,90 ,"Pauillac, France",2002
2002 Chateau Lynch-Bages,90 ,"Pauillac, France",2002
2002 Chateau Pichon Longueville Comtesse de Lalande,91 ,"Pauillac, France",2002
2002 Chateau Pichon-Longueville au Baron de Pichon-Longueville,91 ,"Pauillac, France",2002
2002 Chateau Grand-Puy-Lacoste,88 ,"Pauillac, France",2002
2002 Chateau Duhart-Milon,89 ,"Pauillac, France",2002
2002 Baron Philippe de Rothschild Chateau d'Armailhac,87 ,"Pauillac, France",2002
2002 Chateau Latour 'Les Forts de Latour',90 ,"Pauillac, France",2002
2002 Chateau Clerc-Milon,88 ,"Pauillac, France",2002
2002 Chateau Haut-Batailley,87 ,"Pauillac, France",2002
2002 Chateau Grand-Puy Ducasse,87 ,"Pauillac, France",2002
2002 Chateau Pedesclaux,85 ,"Pauillac, France",2002
2002 Chateau La Fleur Peyrabon,87 ,"Pauillac, France",2002
2002 Domaine Iris de Gayon,0,"Pauillac, France",2002
Chateau Mouton Rothschild,96 ,"Pauillac, France",2002
Chateau Lafite Rothschild,95 ,"Pauillac, France",2002
Chateau Latour,96 ,"Pauillac, France",2002
Chateau Pontet-Canet,95 ,"Pauillac, France",2002
Chateau Lynch-Bages,93 ,"Pauillac, France",2002
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",2002
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",2002
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",2002
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",2002
Chateau Duhart-Milon,91 ,"Pauillac, France",2002
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",2002
2003 Chateau Mouton Rothschild,93 ,"Pauillac, France",2003
2003 Chateau Lafite Rothschild,95 ,"Pauillac, France",2003
2003 Chateau Latour,97 ,"Pauillac, France",2003
2003 Chateau Pichon Longueville Comtesse de Lalande,93 ,"Pauillac, France",2003
2003 Chateau Pichon-Longueville au Baron de Pichon-Longueville,93 ,"Pauillac, France",2003
2003 Chateau Grand-Puy-Lacoste,90 ,"Pauillac, France",2003
2003 Chateau Lafite Rothschild 'Carruades de Lafite',90 ,"Pauillac, France",2003
2003 Chateau La Fleur Peyrabon,90 ,"Pauillac, France",2003
Chateau Mouton Rothschild,96 ,"Pauillac, France",2003
Chateau Lafite Rothschild,95 ,"Pauillac, France",2003
Chateau Latour,96 ,"Pauillac, France",2003
Chateau Pontet-Canet,95 ,"Pauillac, France",2003
Chateau Lynch-Bages,93 ,"Pauillac, France",2003
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",2003
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",2003
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",2003
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",2003
Chateau Duhart-Milon,91 ,"Pauillac, France",2003
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",2003
Chateau Mouton Rothschild,96 ,"Pauillac, France",2004
Chateau Lafite Rothschild,95 ,"Pauillac, France",2004
Chateau Latour,96 ,"Pauillac, France",2004
Chateau Pontet-Canet,95 ,"Pauillac, France",2004
Chateau Lynch-Bages,93 ,"Pauillac, France",2004
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",2004
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",2004
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",2004
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",2004
Chateau Duhart-Milon,91 ,"Pauillac, France",2004
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",2004
2005 Chateau Mouton Rothschild,96 ,"Pauillac, France",2005
2005 Chateau Lafite Rothschild,95 ,"Pauillac, France",2005
2005 Chateau Latour,97 ,"Pauillac, France",2005
2005 Chateau Lynch-Bages,93 ,"Pauillac, France",2005
2005 Chateau Pichon Longueville Comtesse de Lalande,93 ,"Pauillac, France",2005
2005 Chateau Grand-Puy-Lacoste,93 ,"Pauillac, France",2005
2005 Chateau Lafite Rothschild 'Carruades de Lafite',90 ,"Pauillac, France",2005
2005 Baron Philippe de Rothschild Chateau d'Armailhac,90 ,"Pauillac, France",2005
2005 Chateau Latour 'Les Forts de Latour',92 ,"Pauillac, France",2005
2005 Chateau Grand-Puy Ducasse,89 ,"Pauillac, France",2005
2005 Chateau Mouton-Rothschild Vertical Collection,0,"Pauillac, France",2005
2005 Chateau La Fleur Peyrabon,88 ,"Pauillac, France",2005
Chateau Mouton Rothschild,96 ,"Pauillac, France",2005
Chateau Lafite Rothschild,95 ,"Pauillac, France",2005
Chateau Latour,96 ,"Pauillac, France",2005
Chateau Pontet-Canet,95 ,"Pauillac, France",2005
Chateau Lynch-Bages,93 ,"Pauillac, France",2005
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",2005
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",2005
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",2005
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",2005
Chateau Duhart-Milon,91 ,"Pauillac, France",2005
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",2005
2006 Chateau Mouton Rothschild,94 ,"Pauillac, France",2006
2006 Chateau Lafite Rothschild,94 ,"Pauillac, France",2006
2006 Chateau Latour,94 ,"Pauillac, France",2006
2006 Chateau Pontet-Canet,93 ,"Pauillac, France",2006
2006 Chateau Lynch-Bages,91 ,"Pauillac, France",2006
2006 Chateau Pichon Longueville Comtesse de Lalande,92 ,"Pauillac, France",2006
2006 Chateau Pichon-Longueville au Baron de Pichon-Longueville,92 ,"Pauillac, France",2006
2006 Chateau Grand-Puy-Lacoste,91 ,"Pauillac, France",2006
2006 Chateau Lafite Rothschild 'Carruades de Lafite',89 ,"Pauillac, France",2006
2006 Chateau Duhart-Milon,89 ,"Pauillac, France",2006
2006 Baron Philippe de Rothschild Chateau d'Armailhac,89 ,"Pauillac, France",2006
2006 Chateau Latour 'Les Forts de Latour',90 ,"Pauillac, France",2006
2006 Chateau Clerc-Milon,90 ,"Pauillac, France",2006
2006 Chateau Batailley Grand Cru,89 ,"Pauillac, France",2006
2006 Le Petit Mouton de Mouton Rothschild,90 ,"Pauillac, France",2006
2006 Chateau Lynch-Moussas,88 ,"Pauillac, France",2006
2006 Chateau Haut-Batailley,89 ,"Pauillac, France",2006
2006 Chateau Haut-Bages Liberal,89 ,"Pauillac, France",2006
2006 Chateau Grand-Puy Ducasse,88 ,"Pauillac, France",2006
2006 Echo de Lynch Bages Chateau Haut-Bages Averous,88 ,"Pauillac, France",2006
2006 Chateau Grand-Puy-Lacoste 'Lacoste-Borie',89 ,"Pauillac, France",2006
2006 Chateau Croizet-Bages,86 ,"Pauillac, France",2006
2006 Chateau Duhart-Milon 'Moulin de Duhart',0,"Pauillac, France",2006
2006 Chateau Fonbadet,87 ,"Pauillac, France",2006
2006 Chateau Pontet-Canet 'Les Hauts de Pontet-Canet',88 ,"Pauillac, France",2006
2006 Chateau La Fleur Peyrabon,87 ,"Pauillac, France",2006
2006 Chateau Colombier-Monpelou,88 ,"Pauillac, France",2006
Chateau Mouton Rothschild,96 ,"Pauillac, France",2006
Chateau Lafite Rothschild,95 ,"Pauillac, France",2006
Chateau Latour,96 ,"Pauillac, France",2006
Chateau Pontet-Canet,95 ,"Pauillac, France",2006
Chateau Lynch-Bages,93 ,"Pauillac, France",2006
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",2006
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",2006
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",2006
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",2006
Chateau Duhart-Milon,91 ,"Pauillac, France",2006
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",2006
2007 Chateau Mouton Rothschild,93 ,"Pauillac, France",2007
2007 Chateau Lafite Rothschild,93 ,"Pauillac, France",2007
2007 Chateau Latour,92 ,"Pauillac, France",2007
2007 Chateau Pontet-Canet,91 ,"Pauillac, France",2007
2007 Chateau Lynch-Bages,90 ,"Pauillac, France",2007
2007 Chateau Pichon Longueville Comtesse de Lalande,90 ,"Pauillac, France",2007
2007 Chateau Pichon-Longueville au Baron de Pichon-Longueville,92 ,"Pauillac, France",2007
2007 Chateau Lafite Rothschild 'Carruades de Lafite',88 ,"Pauillac, France",2007
2007 Chateau Duhart-Milon,89 ,"Pauillac, France",2007
2007 Chateau Latour 'Les Forts de Latour',90 ,"Pauillac, France",2007
2007 Chateau Clerc-Milon,88 ,"Pauillac, France",2007
2007 Chateau Latour Le Pauillac de Latour,87 ,"Pauillac, France",2007
2007 Chateau Haut-Bages Liberal,87 ,"Pauillac, France",2007
2007 Chateau Grand-Puy Ducasse,87 ,"Pauillac, France",2007
2007 Chateau Pedesclaux,87 ,"Pauillac, France",2007
2007 Chateau Croizet-Bages,87 ,"Pauillac, France",2007
2007 Chateau Duhart-Milon 'Moulin de Duhart',0,"Pauillac, France",2007
2007 Chateau La Fleur Peyrabon,87 ,"Pauillac, France",2007
Chateau Mouton Rothschild,96 ,"Pauillac, France",2007
Chateau Lafite Rothschild,95 ,"Pauillac, France",2007
Chateau Latour,96 ,"Pauillac, France",2007
Chateau Pontet-Canet,95 ,"Pauillac, France",2007
Chateau Lynch-Bages,93 ,"Pauillac, France",2007
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",2007
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",2007
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",2007
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",2007
Chateau Duhart-Milon,91 ,"Pauillac, France",2007
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",2007
2008 Chateau Mouton Rothschild,95 ,"Pauillac, France",2008
2008 Chateau Lafite Rothschild,94 ,"Pauillac, France",2008
2008 Chateau Latour,95 ,"Pauillac, France",2008
2008 Chateau Pontet-Canet,92 ,"Pauillac, France",2008
2008 Chateau Lynch-Bages,91 ,"Pauillac, France",2008
2008 Chateau Pichon Longueville Comtesse de Lalande,91 ,"Pauillac, France",2008
2008 Chateau Pichon-Longueville au Baron de Pichon-Longueville,93 ,"Pauillac, France",2008
2008 Chateau Grand-Puy-Lacoste,90 ,"Pauillac, France",2008
2008 Chateau Lafite Rothschild 'Carruades de Lafite',90 ,"Pauillac, France",2008
2008 Chateau Duhart-Milon,91 ,"Pauillac, France",2008
2008 Baron Philippe de Rothschild Chateau d'Armailhac,89 ,"Pauillac, France",2008
2008 Chateau Latour 'Les Forts de Latour',91 ,"Pauillac, France",2008
2008 Chateau Clerc-Milon,90 ,"Pauillac, France",2008
2008 Chateau Batailley Grand Cru,90 ,"Pauillac, France",2008
2008 Chateau Pichon Longueville Comtesse de Lalande 'Pichon Comtesse Reserve',89 ,"Pauillac, France",2008
2008 Chateau Latour Le Pauillac de Latour,88 ,"Pauillac, France",2008
2008 Le Petit Mouton de Mouton Rothschild,90 ,"Pauillac, France",2008
2008 Chateau Haut-Bages Liberal,89 ,"Pauillac, France",2008
2008 Chateau Grand-Puy Ducasse,88 ,"Pauillac, France",2008
2008 Chateau Croizet-Bages,86 ,"Pauillac, France",2008
2008 Chateau Duhart-Milon 'Moulin de Duhart',91 ,"Pauillac, France",2008
2008 Chateau Pontet-Canet 'Les Hauts de Pontet-Canet',88 ,"Pauillac, France",2008
2008 Chateau La Fleur Peyrabon,88 ,"Pauillac, France",2008
Chateau Mouton Rothschild,96 ,"Pauillac, France",2008
Chateau Lafite Rothschild,95 ,"Pauillac, France",2008
Chateau Latour,96 ,"Pauillac, France",2008
Chateau Pontet-Canet,95 ,"Pauillac, France",2008
Chateau Lynch-Bages,93 ,"Pauillac, France",2008
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",2008
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",2008
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",2008
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",2008
Chateau Duhart-Milon,91 ,"Pauillac, France",2008
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",2008
2009 Chateau Mouton Rothschild,97 ,"Pauillac, France",2009
2009 Chateau Lafite Rothschild,96 ,"Pauillac, France",2009
2009 Chateau Latour,97 ,"Pauillac, France",2009
2009 Chateau Pontet-Canet,96 ,"Pauillac, France",2009
2009 Chateau Lynch-Bages,94 ,"Pauillac, France",2009
2009 Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",2009
2009 Chateau Pichon-Longueville au Baron de Pichon-Longueville,95 ,"Pauillac, France",2009
2009 Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",2009
2009 Chateau Latour 'Les Forts de Latour',93 ,"Pauillac, France",2009
2009 Le Petit Mouton de Mouton Rothschild,91 ,"Pauillac, France",2009
2009 Chateau La Fleur Peyrabon,88 ,"Pauillac, France",2009
Chateau Mouton Rothschild,96 ,"Pauillac, France",2009
Chateau Lafite Rothschild,95 ,"Pauillac, France",2009
Chateau Latour,96 ,"Pauillac, France",2009
Chateau Pontet-Canet,95 ,"Pauillac, France",2009
Chateau Lynch-Bages,93 ,"Pauillac, France",2009
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",2009
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",2009
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",2009
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",2009
Chateau Duhart-Milon,91 ,"Pauillac, France",2009
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",2009
2010 Chateau Mouton Rothschild,97 ,"Pauillac, France",2010
2010 Chateau Latour,98 ,"Pauillac, France",2010
2010 Chateau Pontet-Canet,96 ,"Pauillac, France",2010
2010 Chateau Lynch-Bages,94 ,"Pauillac, France",2010
2010 Chateau Pichon-Longueville au Baron de Pichon-Longueville,96 ,"Pauillac, France",2010
2010 Chateau Grand-Puy-Lacoste,93 ,"Pauillac, France",2010
2010 Chateau Latour 'Les Forts de Latour',93 ,"Pauillac, France",2010
2010 Chateau Pedesclaux,89 ,"Pauillac, France",2010
Chateau Mouton Rothschild,96 ,"Pauillac, France",2010
Chateau Lafite Rothschild,95 ,"Pauillac, France",2010
Chateau Latour,96 ,"Pauillac, France",2010
Chateau Pontet-Canet,95 ,"Pauillac, France",2010
Chateau Lynch-Bages,93 ,"Pauillac, France",2010
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",2010
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",2010
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",2010
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",2010
Chateau Duhart-Milon,91 ,"Pauillac, France",2010
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",2010
2011 Chateau Mouton Rothschild,94 ,"Pauillac, France",2011
2011 Chateau Pontet-Canet,93 ,"Pauillac, France",2011
2011 Chateau Lynch-Bages,91 ,"Pauillac, France",2011
